pdf_filename,title,year,venue,category_candidate,category_final,relevance,include,exclude_reason,web_verified,notes_file
THE GEOMETRY OF OPTIMAL TRANSPORTATION.pdf,THE GEOMETRY OF OPTIMAL TRANSPORTATION,1996,"Acta Mathematica, 177(2), 113-161",math,math,direct,yes,,no,notes/1996__math__acta_mathematica__the_geometry_of_optimal_transportation.md
The factorization of the hypergeometric equation.pdf,The factorization of the hypergeometric equation,1999,The factorization of the hypergeometric equation. arXiv preprint.,,,unknown,pending,,no,
On the Translocation of Masses.pdf,On the Translocation of Masses,2006,Journal of Mathematical Sciences,journal,math,direct,no,经典 OT 奠基文献，相关但属于 math 批次，不在本批次 journal note 写入范围内。,no,
Propagation of chaos for the 2D viscous vortex model.pdf,Propagation of chaos for the 2D viscous vortex model,2014,Journal of the European Mathematical Society,journal,math,indirect,no,均值场/混沌传播数学论文，但对象是 2D 涡旋流体，不是直接服务于单细胞轨迹或 OT/flow 建模的核心文献。,no,
A survey of the Schrödinger problem and some of its connections with optimal transport.pdf,A survey of the Schrödinger problem and some of its connections with optimal transport,2014,"Discrete and Continuous Dynamical Systems, 34(4), 1533-1574",math,math,direct,yes,,no,notes/2014__math__dcds__a_survey_of_the_schrodinger_problem_and_its_connections_with_optimal_transport.md
Auto-Encoding Variational Bayes.pdf,Auto-Encoding Variational Bayes,2013,Auto-Encoding Variational Bayes. arXiv preprint arXiv:1312.6114.,,,unknown,pending,,no,
Quantifying Cell Fate Decisions for Differentiation and Reprogramming of a Human Stem Cell Network Landscape and Biological Paths.pdf,Quantifying Cell Fate Decisions for Differentiation and Reprogramming of a Human Stem Cell Network Landscape and Biological Paths,2013,PLoS Computational Biology,journal,journal,indirect,no,基于手工基因调控网络的势景/通量模型，不是单细胞轨迹推断，也不属于 OT/flow/Schrodinger bridge 理论主线。,no,
Deep Unsupervised Learning using Nonequilibrium Thermodynamics.pdf,Deep Unsupervised Learning using Nonequilibrium Thermodynamics,2015,Deep Unsupervised Learning using Nonequilibrium Thermodynamics.. arXiv (Cornell University) https://doi.org/10.48550/arxiv.1503.03585,,,unknown,pending,,no,
"Construction of the landscape for multi-stable systems Potential landscape, quasi-potential, A-type integral and beyond.pdf","Construction of the landscape for multi-stable systems Potential landscape, quasi-potential, A-type integral and beyond",2016,"Construction of the landscape for multi-stable systems: Potential landscape, quasi-potential, A-type integral and beyond.. The Journal of Chemical Physics, 144(9), 094109–094109 https://doi.org/10.1063/1.4943096",,,unknown,pending,,no,
On the Relation Between Optimal Transport and Schrödinger Bridges A Stochastic Control Viewpoint.pdf,On the Relation Between Optimal Transport and Schrödinger Bridges A Stochastic Control Viewpoint,2016,"Journal of Optimization Theory and Applications, 169(2), 671-691",math,math,direct,yes,,no,notes/2016__math__jota__on_the_relation_between_optimal_transport_and_schrodinger_bridges.md
SLICE determining cell differentiation and lineage based on single cell entropy.pdf,SLICE determining cell differentiation and lineage based on single cell entropy,2017,Nucleic Acids Research,journal,journal,direct,yes,,no,notes/2017__journal__nucleic_acids_research__slice_determining_cell_differentiation_and_lineage_based_on_single_cell_entropy.md
Quantifying critical states of complex diseases using single-sample dynamic network biomarkers.pdf,Quantifying critical states of complex diseases using single-sample dynamic network biomarkers,2017,"Quantifying critical states of complex diseases using single-sample dynamic network biomarkers.. PLoS Computational Biology, 13(7), e1005633–e1005633 https://doi.org/10.1371/journal.pcbi.1005633",,,unknown,pending,,no,
Scaling Algorithms for Unbalanced Transport Problems.pdf,Scaling Algorithms for Unbalanced Transport Problems,2017,Scaling algorithms for unbalanced transport problems. arXiv,,,unknown,pending,,no,
SchNet A continuous-filter convolutional neural network for modeling quantum interactions.pdf,SchNet A continuous-filter convolutional neural network for modeling quantum interactions,2017,"SchNet: A continuous-filter convolutional neural network for modeling quantum interactions.. arXiv (Cornell University), 30, 992–1002 https://doi.org/10.48550/arxiv.1706.08566",,,unknown,pending,,no,
Single-cell entropy for accurate estimation of differentiation potency from a cell’s transcriptome.pdf,Single-cell entropy for accurate estimation of differentiation potency from a cell’s transcriptome,2017,Nature Communications,journal,journal,direct,yes,,no,notes/2017__journal__nature_communications__single_cell_entropy_for_accurate_estimation_of_differentiation_potency_from_a_cells_transcriptome.md
Reversed graph embedding resolves complex single-cell trajectories.pdf,Reversed graph embedding resolves complex single-cell trajectories,2017,https://doi.org/10.1038/nmeth.4402,,,unknown,pending,,no,
Entanglement certification from theory to experiment.pdf,Entanglement certification from theory to experiment,2018,Nature Reviews Physics,journal,journal,none,no,量子纠缠综述，与单细胞轨迹/OT-flow 建模无关。,no,
Interpolating between Optimal Transport and MMD using Sinkhorn Divergences.pdf,Interpolating between Optimal Transport and MMD using Sinkhorn Divergences,2018,arXiv,math,,peripheral,no,主要研究静态分布比较损失与大规模 Sinkhorn/MMD 插值，不提供单细胞动力学、SB、UOT 或 mean-field 路线所需的生成机制。,no,
Neural Ordinary Differential Equations.pdf,Neural Ordinary Differential Equations,2018,"Neural Ordinary Differential Equations.. arXiv (Cornell University), 31, 6572–6583 https://doi.org/10.48550/arxiv.1806.07366",,,unknown,pending,,no,
Optimal Transport for structured data with application on graphs.pdf,Optimal Transport for structured data with application on graphs,2019,Proceedings of the 36th International Conference on Machine Learning,math,,none,no,核心问题是图结构对象的 Fused Gromov-Wasserstein 距离与图分类，不服务于单细胞分布动力学、OT-SB-UOT 理论主线。,no,
Optimal Entropy-Transport problems and a new Hellinger–Kantorovich distance between positive measures.pdf,Optimal Entropy-Transport problems and a new Hellinger–Kantorovich distance between positive measures,2018,"Optimal entropy-transport problems and a new Hellinger–Kantorovich distance between positive measures. Inventiones Mathematicae, *211*(3), 969–1117",,,unknown,pending,,no,
Quantifying Waddington’s epigenetic landscape a comparison of single-cell potency measures.pdf,Quantifying Waddington’s epigenetic landscape a comparison of single-cell potency measures,2018,"Quantifying Waddington’s epigenetic landscape: a comparison of single-cell potency measures.. Briefings in Bioinformatics, 21(1), 248–261 https://doi.org/10.1093/bib/bby093",,,unknown,pending,,no,
Slingshot cell lineage and pseudotime inference for single-cell transcriptomics.pdf,Slingshot cell lineage and pseudotime inference for single-cell transcriptomics,2018,BMC Genomics,journal,journal,direct,yes,,no,notes/2018__journal__bmc_genomics__slingshot_cell_lineage_and_pseudotime_inference_for_single_cell_transcriptomics.md
Stem cells a window of opportunity in low-dimensional EMT space.pdf,Stem cells a window of opportunity in low-dimensional EMT space,2018,Oncotarget,journal,journal,indirect,no,Oncotarget 新闻评论，虽讨论 EMT/stemness，但不是原始单细胞方法论文，也不提供可复用动力学建模方案。,no,
Taking census of physics.pdf,Taking census of physics,2019,Nature Reviews Physics,journal,journal,none,no,科学计量学/physics census 文章，与目标问题无关。,no,
Umap Uniform manifold approximation and projection for dimension reduction.pdf,Umap Uniform manifold approximation and projection for dimension reduction,2018,Umap: Uniform manifold approximation and projection for dimension reduction. arXiv preprint arXiv:1802.03426.,,,unknown,pending,,no,
Identification of spatial expression trends in single-cell gene expression data.pdf,Identification of spatial expression trends in single-cell gene expression data,2018,https://doi.org/10.1038/nmeth.4634,,,unknown,pending,,no,
RNA velocity of single cells.pdf,RNA velocity of single cells,2018,Nature,journal,journal,direct,yes,,no,notes/2018__journal__nature__rna_velocity_of_single_cells.md
scEpath energy landscape-based inference of transition probabilities and cellular trajectories from single-cell transcriptomic data.pdf,scEpath energy landscape-based inference of transition probabilities and cellular trajectories from single-cell transcriptomic data,2018,Bioinformatics,journal,journal,direct,yes,,no,notes/2018__journal__bioinformatics__scepath_energy_landscape_based_inference_of_transition_probabilities_and_cellular_trajectories_from_single_cell_transcriptomic_data.md
A Machine Learning Framework for Solving High-Dimensional Mean Field Game and Mean Field Control Problems.pdf,A Machine Learning Framework for Solving High-Dimensional Mean Field Game and Mean Field Control Problems,2020,"Proceedings of the National Academy of Sciences, 117(17), 9183-9193",math,math,direct,yes,,no,notes/2020__math__pnas__a_machine_learning_framework_for_high_dimensional_mean_field_game_and_mean_field_control_problems.md
A comparison of single-cell trajectory inference methods.pdf,A comparison of single-cell trajectory inference methods,2019,Nature Biotechnology,journal,journal,direct,yes,,no,notes/2019__journal__nature_biotechnology__a_comparison_of_single_cell_trajectory_inference_methods.md
Gromov-Wasserstein Factorization Models for Graph Clustering.pdf,Gromov-Wasserstein Factorization Models for Graph Clustering,2019,arXiv,math,,none,no,关注图聚类与 GW barycenter/factorization，对单细胞轨迹推断所需的连续时间动力学与不守恒 transport 机制没有直接可复用价值。,no,
Improved single-cell ATAC-seq reveals chromatin dynamics of in vitro corticogenesis.pdf,Improved single-cell ATAC-seq reveals chromatin dynamics of in vitro corticogenesis,2019,Improved single-cell ATAC-seq reveals chromatin dynamics of in vitro corticogenesis. bioRxiv,,,unknown,pending,,no,
Optimal-Transport Analysis of Single-Cell Gene Expression Identifies Developmental Trajectories in Reprogramming.pdf,Optimal-Transport Analysis of Single-Cell Gene Expression Identifies Developmental Trajectories in Reprogramming,2019,Cell,journal,journal,direct,yes,,no,notes/2019__journal__cell__optimal_transport_analysis_of_single_cell_gene_expression_identifies_developmental_trajectories_in_reprogramming.md
Random Batch Methods (RBM) for interacting particle systems.pdf,Random Batch Methods (RBM) for interacting particle systems,2019,"Random Batch Methods (RBM) for interacting particle systems.. Journal of Computational Physics, 400, 108877–108877 https://doi.org/10.1016/j.jcp.2019.108877",,,unknown,pending,,no,
Spatio-Temporal Alignments Optimal transport through space and time.pdf,Spatio-Temporal Alignments Optimal transport through space and time,2019,arXiv,math,,peripheral,no,主要解决时空序列对齐，方法是 soft-DTW 加静态 unbalanced OT 成本，不是分布演化或单细胞命运动力学生成模型。,no,
The Gromov–Wasserstein distance between networks and stable network invariants.pdf,The Gromov–Wasserstein distance between networks and stable network invariants,2019,"Information and Inference: A Journal of the IMA, 8(4), 757-787",math,,none,no,重点是网络比较与稳定不变量，虽使用 GW 距离，但不支持单细胞轨迹建模路线中的 OT/UOT/SB/mean-field 机制设计。,no,
Ultrastrong coupling between light and matter.pdf,Ultrastrong coupling between light and matter,2019,Nature Reviews Physics,journal,journal,none,no,量子光学综述，与单细胞轨迹/动力学建模无关。,no,
Unbalanced Optimal Transport Dynamic and Kantorovich Formulation.pdf,Unbalanced Optimal Transport Dynamic and Kantorovich Formulation,2018,"Journal of Functional Analysis, 274(11), 3090-3123",math,math,direct,yes,,no,notes/2018__math__journal_of_functional_analysis__unbalanced_optimal_transport_dynamic_and_kantorovich_formulations.md
Unnormalized optimal transport.pdf,Unnormalized optimal transport,2019,"Journal of Computational Physics, 399, 108940",math,math,direct,yes,,no,notes/2019__math__journal_of_computational_physics__unnormalized_optimal_transport.md
PAGA graph abstraction reconciles clustering with trajectory inference through a topology preserving map of single cells.pdf,PAGA graph abstraction reconciles clustering with trajectory inference through a topology preserving map of single cells,2019,Genome Biology,journal,journal,direct,yes,,no,notes/2019__journal__genome_biology__paga_graph_abstraction_reconciles_clustering_with_trajectory_inference_through_a_topology_preserving_map_of_single_cells.md
Computational Optimal Transport.pdf,Computational Optimal Transport,2020,Foundations and Trends in Machine Learning (survey monograph),math,,low,no,Foundational survey/monograph rather than a new route-specific theory or method paper for the CytoBridge route.,no,
Context specificity of the EMT transcriptional response.pdf,Context specificity of the EMT transcriptional response,2020,Nature Communications,journal,journal,direct,yes,,no,notes/2020__journal__nature_communications__context_specificity_of_the_emt_transcriptional_response.md
Denoising Diffusion Probabilistic Models.pdf,Denoising Diffusion Probabilistic Models,2020,Denoising Diffusion Probabilistic Models.. arXiv (Cornell University) https://doi.org/10.48550/arxiv.2006.11239,,,unknown,pending,,no,
Entropic Optimal Transport between Unbalanced Gaussian Measures has a Closed Form.pdf,Entropic Optimal Transport between Unbalanced Gaussian Measures has a Closed Form,2020,NeurIPS 2020,math,math,high,yes,,no,notes/2020__math__neurips__entropic_ot_unbalanced_gaussians.md
Fisher information regularization schemes for Wasserstein gradient flows.pdf,Fisher information regularization schemes for Wasserstein gradient flows,2020,Journal of Computational Physics (2020),math,math,medium,yes,,no,notes/2020__math__jcp__fisher_regularization_wasserstein_gradient_flows.md
Inference and multiscale model of epithelial-to-mesenchymal transition via single-cell transcriptomic data.pdf,Inference and multiscale model of epithelial-to-mesenchymal transition via single-cell transcriptomic data,2020,"Inference and multiscale model of epithelial-to-mesenchymal transition via single-cell transcriptomic data.. Nucleic Acids Research, 48(17), 9505–9520 https://doi.org/10.1093/nar/gkaa725",,,unknown,pending,,no,
Mean-field and graph limits for collective dynamics models with n time-varying weights.pdf,Mean-field and graph limits for collective dynamics models with n time-varying weights,2020,arXiv preprint,math,,low,no,"Opinion-dynamics mean-field/graph-limit theory, not a materially reusable OT/UOT/SB/FM mechanism for single-cell dynamics.",no,
